SQL_ApplicationId,SQL_Party_Id,SQL_PartyRoleTypeName,SQL_AccociatedPartyId,SQL_CrmIdentifier,SQL_OrganisationName,SQL_Salutation,SQL_FirstName,SQL_MiddleName,SQL_LastName,SQL_Name,SQL_SearchName,SQL_EmailAddress,SQL_Telephone,SQL_Fax,SQL_Address_Id,SQL_AddressName,SQL_Line1,SQL_Line2,SQL_Line3,SQL_City,SQL_StateOrProvince,SQL_Country,SQL_Postcode
76029,112608,Joint Assured,191282,39DAB1D8-BB19-4864-B572-E72B5D02DBB5,P3 JA_Party1,null,null,null,null,P3 JA_Party1,P3 JA_Party1,o@k.com,+4477558899,+44995544225,113023,P3 JA_Party1 AddName,P3 JA_Party1 L1,P3 JA_Party1 L2,null,Halifax,West Yorkshire,UNITED KINGDOM,LE1 1LE
76029,112607,InterestedParty,191281,7B16C878-9C42-4DE2-8FA3-26A4F01606FD,null,Mr.,P2,null,IntParty2,P2 IntParty2,P2 IntParty2,up@there.com,+445588669,+445511225,113022,IntParty2 AddName,IntParty2 L1,IntParty2 L2,IntParty2 L3,Whitby,East Riding,UNITED KINGDOM,YO4 4WH
76029,112606,InterestedParty,191280,EA4B4CCD-5384-401C-8AE1-43B24C08F7F5,P1 IntParty1,null,null,null,null,P1 IntParty1,P1 IntParty1,null,null,null,113021,P1 IntParty1 AddName,P1 IntParty1L1,P1 IntParty1L2,null,Harrogate,null,UNITED KINGDOM,YO3 3HA
76028,112611,Joint Assured,191279,83D4E659-DC40-472A-B12E-229D42C01A72,null,Dr.,P6,null,JA_Party4,P6 JA_Party4,P6 JA_Party4,null,null,null,113026,JA_Party4 AddName,JA_Party4 L1,JA_Party4 L2,null,Doncaster,null,UNITED KINGDOM,DN1 1ND
76028,112610,Joint Assured,191278,E841A120-C261-49B3-BF43-E128CA8601D9,null,Mrs.,Updated,null,P5 JA_Party3,Updated P5 JA_Party3,Updated P5 JA_Party3,null,null,null,113025,P5 JA_Party3 AddName,P5 JA_Party3 L1,P5 JA_Party3 L2,null,Scunthorpe,null,UNITED KINGDOM,SC1 1SC
76028,112609,Joint Assured,191277,295CEC75-7524-4EDD-8D9E-5177392F21FE,null,Captain,P4,null,JA_Party2,P4 JA_Party2,P4 JA_Party2,null,null,null,113024,JA_Party2 AddName,JA_Party2 L1,JA_Party2 L2,null,Barnsley,South Yorkshire,UNITED KINGDOM,S20 1sh
76028,112608,Joint Assured,191276,39DAB1D8-BB19-4864-B572-E72B5D02DBB5,P3 JA_Party1,null,null,null,null,P3 JA_Party1,P3 JA_Party1,o@k.com,+4477558899,+44995544225,113023,P3 JA_Party1 AddName,P3 JA_Party1 L1,P3 JA_Party1 L2,null,Halifax,West Yorkshire,UNITED KINGDOM,LE1 1LE
76028,112607,InterestedParty,191275,7B16C878-9C42-4DE2-8FA3-26A4F01606FD,null,Mr.,P2,null,IntParty2,P2 IntParty2,P2 IntParty2,up@there.com,+445588669,+445511225,113022,IntParty2 AddName,IntParty2 L1,IntParty2 L2,IntParty2 L3,Whitby,East Riding,UNITED KINGDOM,YO4 4WH
76028,112606,InterestedParty,191274,EA4B4CCD-5384-401C-8AE1-43B24C08F7F5,P1 IntParty1,null,null,null,null,P1 IntParty1,P1 IntParty1,null,null,null,113021,P1 IntParty1 AddName,P1 IntParty1L1,P1 IntParty1L2,null,Harrogate,null,UNITED KINGDOM,YO3 3HA
76027,112600,Joint Assured,191273,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76026,112600,Joint Assured,191272,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76025,112600,Crew Manager,191271,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76024,112589,Joint Assured,191270,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76023,112589,Joint Assured,191269,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76022,112589,Joint Assured,191268,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76017,112600,Joint Assured,191267,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76016,112600,Joint Assured,191266,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76009,112601,Crew Manager,191265,1CC5F794-D7F3-4A5A-9E5A-A04BA7782673,MyParty_28082020,null,null,null,null,MyParty_28082020,MyParty_28082020,MyEmail@emaill.com,67576577889,77987797,113016,MyAddressName,MyLine1,MyLine2,MyLine3,MyCity,MyState,INDIA,9898988
76008,112601,Crew Manager,191264,1CC5F794-D7F3-4A5A-9E5A-A04BA7782673,MyParty_28082020,null,null,null,null,MyParty_28082020,MyParty_28082020,MyEmail@emaill.com,67576577889,77987797,113016,MyAddressName,MyLine1,MyLine2,MyLine3,MyCity,MyState,INDIA,9898988
76007,112600,Mortgagee,191263,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76006,112600,Mortgagee,191262,2EAD981A-9CEC-46E1-A204-D6088B46D12F,MyParty,null,null,null,null,MyParty,MyParty,MyParty@MyParty.com,2342342341,1231231221,113015,MyParty_AddressName,MyParty_Line1,MyParty_Line2,MyParty_Line3,MyParty_City,MyParty_State,INDIA,123123
76002,112589,Joint Assured,191261,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
76001,112589,Joint Assured,191260,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75999,112589,Joint Assured,191259,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75998,112589,Joint Assured,191258,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75996,112589,Joint Assured,191257,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75995,112589,Joint Assured,191256,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75993,112597,Mortgagee,191255,1428BF9A-F521-4850-8A38-3C76775E1ECE,Party26Aug Party2,null,null,null,null,Party26Aug Party2,Party26Aug Party2,null,null,null,113012,Party26Aug Party2 AddName,Party26Aug Party2 L1,Party26Aug Party2L2,null,York,North Yorkshire,UNITED KINGDOM,Y1 1AY
75993,112596,Joint Assured,191254,FDE66DEF-E697-471E-91C1-CC16ED8D36AF,Party26Aug Party1,null,null,null,null,Party26Aug Party1,Party26Aug Party1,null,null,null,113011,Party26Aug Party1 AddName,Party26Aug Party1L1,Party26Aug Party1L2,Party26Aug Party1L3,Aberdeen,Aberdeenshire,UNITED KINGDOM,Ab1 1AB
75992,112597,Mortgagee,191253,1428BF9A-F521-4850-8A38-3C76775E1ECE,Party26Aug Party2,null,null,null,null,Party26Aug Party2,Party26Aug Party2,null,null,null,113012,Party26Aug Party2 AddName,Party26Aug Party2 L1,Party26Aug Party2L2,null,York,North Yorkshire,UNITED KINGDOM,Y1 1AY
75992,112596,Joint Assured,191252,FDE66DEF-E697-471E-91C1-CC16ED8D36AF,Party26Aug Party1,null,null,null,null,Party26Aug Party1,Party26Aug Party1,null,null,null,113011,Party26Aug Party1 AddName,Party26Aug Party1L1,Party26Aug Party1L2,Party26Aug Party1L3,Aberdeen,Aberdeenshire,UNITED KINGDOM,Ab1 1AB
75987,112589,Crew Manager,191251,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75986,112589,InterestedParty,191250,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75985,112589,Crew Manager,191249,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75984,112592,Joint Assured,191248,77802CA7-0BD0-4095-A48F-585DBE947FCD,TestParty,null,null,null,null,TestParty,TestParty,Party@Party.com,4567890876,,113007,PartyAddressName,PartyLine1,PartyLine2,PartyLine3,PartyCity,PartyState,INDIA,3212312
75984,112589,Crew Manager,191247,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75982,112589,Joint Assured,191246,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75981,112588,InterestedParty,191245,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,UpdatedMember_27082020,null,null,null,null,UpdatedMember_27082020,UpdatedMember_27082020,mem@mem.mem,452-125,333-444,113003,Automation New Member,ADR Line 1,ADR Line 2,null,London,null,UNITED KINGDOM,34A PD
75980,112589,Crew Manager,191244,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75979,112589,Crew Manager,191243,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75978,112589,Joint Assured,191242,FED3845B-9D23-431A-AF37-60183C407483,Suraj new Party_26082020,null,null,null,null,Suraj new Party_26082020,Suraj new Party_26082020,test@test.com,98789798789,null,113004,SurajPartyAddrName,Line 1,Line 2,Line 3,MyCity,Mah,INDIA,7676756
75977,112588,InterestedParty,191241,91F58FCC-7621-42CD-AB14-2F5EDCBC66D2,UpdatedMember_27082020,null,null,null,null,UpdatedMember_27082020,UpdatedMember_27082020,mem@mem.mem,452-125,333-444,113003,Automation New Member,ADR Line 1,ADR Line 2,null,London,null,UNITED KINGDOM,34A PD
75976,82699,Joint Assured,191239,6A878CA6-C837-E711-B767-005056B03908,Tom test crew manager,null,null,null,null,Tom test crew manager,Tom test crew manager,null,null,null,23905,null,null,null,null,null,null,null,null
75975,82699,Joint Assured,191238,6A878CA6-C837-E711-B767-005056B03908,Tom test crew manager,null,null,null,null,Tom test crew manager,Tom test crew manager,null,null,null,23905,null,null,null,null,null,null,null,null
75974,82697,Joint Assured,191237,503E7D67-C737-E711-B767-005056B03908,TOM TEST YACHT PILOT,null,null,null,null,TOM TEST YACHT PILOT,TOM TEST YACHT PILOT,janie.welsh@shipownersclub.com,null,null,23903,Test Address Name,null,null,null,Test City,null,ITALY,null
75965,82700,Crew Manager,191235,72B73BCB-C837-E711-B767-005056B03908,Tom test Mortgagee,null,null,null,null,Tom test Mortgagee,Tom test Mortgagee,null,null,null,23906,Test Bank,null,null,null,Test City,null,ITALY,null
75964,96380,Joint Assured,191234,F75040D2-C51A-E911-A988-0022480050C6,PT PELAYARAN SINAR GRATIA NUSANTARA,null,null,null,null,PT PELAYARAN SINAR GRATIA NUSANTARA,PT PELAYARAN SINAR GRATIA NUSANTARA,null,null,null,96396,null,null,null,null,null,null,null,null
75963,48777,Joint Assured,191233,F684396B-DAA6-E411-B3AC-005056B03908,Pt Pelayaran Teguh Persada Kencana,null,null,null,null,Pt Pelayaran Teguh Persada Kencana,Pt Pelayaran Teguh Persada Kencana,null,null,null,23082,Jl. Raja Ali Haji Komp.,Nagoya Point Blok JJ No. 4,Kota,null,Batam 29444,null,INDONESIA,null
75962,112580,Crew Manager,191240,4D9D4CA2-4604-46E3-B33F-82926F0F66B3,17AugRun2 Party 2,null,null,null,null,17AugRun2 Party 2,17AugRun2 Party 2,null,null,null,112995,17AugRun2 Party 2 Add Name,17AugRun2 Party 2 L1,17AugRun2 Party 2 L2,null,Leeds,est Yorkshire,UNITED KINGDOM,L1 1BB
75962,112580,Crew Manager,191236,4D9D4CA2-4604-46E3-B33F-82926F0F66B3,17AugRun2 Party 2,null,null,null,null,17AugRun2 Party 2,17AugRun2 Party 2,null,null,null,112995,17AugRun2 Party 2 Add Name,17AugRun2 Party 2 L1,17AugRun2 Party 2 L2,null,Leeds,est Yorkshire,UNITED KINGDOM,L1 1BB
75962,112583,Protective Co-Assured,191232,B71D9CE4-B249-4A8B-A51F-D2AFC5F6E9A9,17AugRun2 Party 5,null,null,null,null,17AugRun2 Party 5,17AugRun2 Party 5,null,null,null,112998,17AugRun2 Party 5Add Name,17AugRun2 Party 5 L1,17AugRun2 Party 5 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
75962,112582,Mortgagee,191231,76924454-4C1C-41D1-9390-91CF2BA02079,17AugRun2 Party 4,null,null,null,null,17AugRun2 Party 4,17AugRun2 Party 4,null,null,null,112997,17AugRun2 Party 4 Add Name,17AugRun2 Party 4 L1,17AugRun2 Party 4 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
75962,112581,Mortgagee,191230,C054C839-162A-4DC7-B67B-7C9824D0D1C6,17AugRun2 Party 3,null,null,null,null,17AugRun2 Party 3,17AugRun2 Party 3,null,null,null,112996,17AugRun2 Party 3 Add Name,17AugRun2 Party 3 L1,17AugRun2 Party 3 L2,null,Derby ,Derbyshire,UNITED KINGDOM,D1 1DB
75962,112580,Crew Manager,191229,4D9D4CA2-4604-46E3-B33F-82926F0F66B3,17AugRun2 Party 2,null,null,null,null,17AugRun2 Party 2,17AugRun2 Party 2,null,null,null,112995,17AugRun2 Party 2 Add Name,17AugRun2 Party 2 L1,17AugRun2 Party 2 L2,null,Leeds,est Yorkshire,UNITED KINGDOM,L1 1BB
75962,112579,Joint Assured,191228,49D16B80-F366-4083-A1C9-851525B422BA,17AugRun2 Party 1,null,null,null,null,17AugRun2 Party 1,17AugRun2 Party 1,you@there.com,+445511225,+44558855221,112994,17AugRun2 Party 1Add Name,17AugRun2 Party 1 L1,17AugRun2 Party 1L2,17AugRun2 Party 1 L3,Birmingham,Midlands,UNITED KINGDOM,B37 7HG
75961,112582,Mortgagee,191227,76924454-4C1C-41D1-9390-91CF2BA02079,17AugRun2 Party 4,null,null,null,null,17AugRun2 Party 4,17AugRun2 Party 4,null,null,null,112997,17AugRun2 Party 4 Add Name,17AugRun2 Party 4 L1,17AugRun2 Party 4 L2,null,BHAM,null,UNITED KINGDOM,B37 7HG
75961,112581,InterestedParty,191226,C054C839-162A-4DC7-B67B-7C9824D0D1C6,17AugRun2 Party 3,null,null,null,null,17AugRun2 Party 3,17AugRun2 Party 3,null,null,null,112996,17AugRun2 Party 3 Add Name,17AugRun2 Party 3 L1,17AugRun2 Party 3 L2,null,Derby ,Derbyshire,UNITED KINGDOM,D1 1DB
75961,112580,Crew Manager,191225,4D9D4CA2-4604-46E3-B33F-82926F0F66B3,17AugRun2 Party 2,null,null,null,null,17AugRun2 Party 2,17AugRun2 Party 2,null,null,null,112995,17AugRun2 Party 2 Add Name,17AugRun2 Party 2 L1,17AugRun2 Party 2 L2,null,Leeds,est Yorkshire,UNITED KINGDOM,L1 1BB
75961,112579,Joint Assured,191224,49D16B80-F366-4083-A1C9-851525B422BA,17AugRun2 Party 1,null,null,null,null,17AugRun2 Party 1,17AugRun2 Party 1,you@there.com,+445511225,+44558855221,112994,17AugRun2 Party 1Add Name,17AugRun2 Party 1 L1,17AugRun2 Party 1L2,17AugRun2 Party 1 L3,Birmingham,Midlands,UNITED KINGDOM,B37 7HG
